Article,Ankur,Vikas,Ank_AI1,Ank_AI2,Ank_AI3,Ank_AI4,Shwetank,Niranjan,Jairaj
How 2 of the world's most powerful and dangerous drug lords compare,4,5,5,3,2,1,4,2,2
"Fortune 500 Thrives, But Small Businesses Not So Optimistic",2,5,2,4,5,2,3,5,3
Google Acquisition of Motorola Finally Closes: Why You Should Care,4,4,4,2,1,4,5,4,2
Finding Money for That Franchise When Money is Tight,2,5,5,3,2,1,3,4,3
94 Percent of People Think Buying From Small Businesses is Important,3,5,2,4,5,2,4,4,3
"Bright Light Helps Market Products, But Makes Decisions More Emotional",3,3,4,2,1,4,5,3,2
25 Tips for Using Instagram in Your Business,1,5,4,2,1,4,3,5,4
"Intuit Will Acquire Check App, Deal is Worth $360 Million",2,5,4,2,1,4,5,4,2
3 Ways to Look at Marketing,2,4,4,2,1,4,4,4,3
Successful S-Corp Owners: Watch Out For A Tax Increase,2,5,5,3,2,1,3,5,2
10 phrases in your emails that make you sound unprofessional,4,5,3,3,3,3,5,3,3
Mid-Year Business Review: Risk Management Edition,3,5,2,4,5,2,5,4,3
European shares lifted by solid earnings but RBS slumps,4,2,2,4,4,5,4,4,1
How to Get Your Products Discovered with Videos,3,5,3,3,3,3,5,2,4
"Court Reverses $338,000 Award for User Generated Content",3,4,2,4,5,2,4,2,3
25 Free WordPress Plugins for Integrating Google Features,4,4,4,2,1,4,5,1,4
Small Business Product Launches and Shut Downs,3,5,4,2,1,4,5,2,3
Build your Business Through The Economics of Integrity,4,4,5,3,2,1,4,1,3
STOCKS RALLY: Here's what you need to know,5,4,5,3,2,1,3,4,2
Best Small Business Books,5,5,4,2,1,4,3,2,3
What Is HTML5? Do I Need It For My Business Website?,3,2,2,4,5,2,3,4,1
10 Apps to Assist with Your Small Business Taxes,2,5,5,3,2,1,5,3,3
Evernote Coming Out With New App Just for Businesses,3,4,3,3,3,3,4,1,3
Facebook Wants Your Businesses On Messenger,2,3,2,4,5,2,3,5,3
"5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania",3,4,2,4,3,3,4,2,4
"India orders four maritime spy planes from Boeing, bolsters navy",2,5,1,5,3,2,3,4,4
"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC",3,2,1,5,3,2,4,5,1
Adobe Acquires Fotolia for $800 Million,3,2,2,4,5,2,3,4,1
"Brands Doing More Content Marketing with Less Return, TrackMaven Says",3,5,4,2,1,4,2,5,2
You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations,3,4,4,2,1,4,5,1,4
10 things you need to know in markets today,5,5,5,3,2,1,5,2,3
FCC Decision on Net Neutrality Coming Soon,4,2,2,4,5,2,3,3,2
How to Market Your Business on Twitter Like a Pro,3,5,2,4,5,2,4,4,4
The Secret to Achieving Resolutions:  Setting Small Goals,5,4,2,4,5,2,4,5,4
11 Ways to Use Twitter To Develop Sales Leads,3,3,4,2,1,4,4,2,4
"Jupitermedia: Media Analyst, NYC",3,5,4,2,1,4,1,1,2
Better Online Marketing Optimization Through Google Analytics: A Book Review,3,5,4,2,1,4,3,2,3
Is Your Small Business Marketing to Hispanic Consumers?,2,2,4,2,1,4,4,3,3
Improving Your Community Can Improve Your Business,2,5,2,4,5,2,4,5,4
Sauca Foods:  New Flair for the Food Truck Trend,2,4,3,1,4,2,4,4,3
Mompreneur Launches $3 Million Business Selling Superhero Capes,2,5,3,3,3,3,4,4,2
Going Mobile: Does Your Small Business Need an App?,3,3,4,2,1,4,3,4,4
HP Reinventing Traditional Computers With Mini Desktop PC,2,4,3,3,3,3,3,1,3
Are You Being Too Nice for Your Own Good?,5,2,2,4,5,2,4,1,4
Victoria's Secret supermodel reveals everything she eats in a day,2,5,3,3,3,3,3,5,2
Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium,5,5,3,5,2,2,5,2,2
Hacking of Google Maps May Have Killed This Business,2,2,4,2,1,4,4,5,4
Metrics Overload? How to Streamline Marketing Data,3,3,4,2,1,4,4,3,3
Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation,2,5,4,2,1,4,3,3,4
IRS Adopts Taxpayer Bill of Rights,3,2,1,3,3,5,3,4,2
Vine: Now You Can Send Video Messages Directly to Friends and Colleagues,2,5,4,2,1,4,4,5,4
4 Real Reasons to Care About Google Place Pages,3,5,4,2,1,4,3,5,4
Why Employees Are Always A Bad Idea: A Review,5,5,2,4,5,2,4,4,3
Social Customers Means a Social Inbox: Review of Nimble CRM,3,5,3,1,4,2,3,4,4
10 Things You Need To Do After Forming An LLC,2,4,2,4,4,5,5,1,2
Mix360 Headset Promises Hi-Fi Experience From Your Smartphone,3,4,5,5,3,1,3,2,4
20 Reasons People Unfollow You On Twitter,2,4,3,1,4,2,3,5,4
ZenPayroll Could Change the Way You Pay,3,4,2,4,5,2,3,4,2
How millions from the Bangladesh Bank heist disappeared,4,5,2,4,4,5,4,4,1
How the Cloud is Reshaping Small Business Productivity,3,2,2,4,5,2,4,5,3
How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes,4,2,5,3,2,1,4,2,4
5 Benefits of Having a Website for Your Small Business,3,3,2,4,5,2,3,3,5
CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain,3,5,3,3,3,3,4,4,3
"New Apple iPad Thinner, Lighter But Still $499",3,5,4,2,1,4,4,4,2
Senate Passes Internet Sales Tax; Bill Moves to House,3,2,4,2,1,4,4,5,1
Quantify Lets You Shop For Your Next Business Consultant Online,3,2,3,5,2,2,3,1,4
Is It Time to Change Your Business Structure?,3,2,2,4,5,2,5,2,4
Thanks to TheAppleBlog Sponsors!,2,3,2,4,3,3,1,3,2
How to Leverage Infographics for B2B Marketing,3,4,4,2,1,4,3,5,3
Zapier Zaps Your Data from One App to Another With One Click,3,5,2,4,5,2,3,4,2
How Cloud Computing Can Help You Scale Your Business,3,2,2,4,5,2,5,1,4
You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this,5,3,5,3,2,1,4,3,2
On the Long Road to Economic Recovery? You Decide,4,4,2,4,5,2,3,5,3
eBay Plans a New Mobile Ad Network,3,4,3,1,4,2,3,4,2
"Busted: Hotels.com Caught Buying Links, Apology is Weak",3,4,2,4,5,2,4,3,1
Artsy Central Shows Trend Toward Etsy Alternatives,2,3,2,4,5,2,4,1,4
"Meet Byju, whos changing the way India learns",5,2,1,5,3,2,4,4,4
New Google and New Foursquare Offerings Call Attention to Local Business Marketing,3,5,4,2,1,4,4,5,5
"Culture, Career Development and Networking Blend in Black Faces In White Places",4,5,2,4,4,5,4,4,3
How Much Will the Sequester Cost Small Business Contractors?,2,5,2,4,5,2,4,3,3
5 Tips for Buying a Franchise,2,3,4,2,1,4,4,3,4
The Small Business Guide to Getting Ready for Vacation,2,5,2,4,5,2,4,3,2
How Does Social Media Aid Lead Generation?,3,5,5,5,3,1,3,5,4
Juice Your Apple Devices with this Fun Juice Box Charger,3,5,2,4,3,3,4,4,2
Days Are Numbered for the LG Google Nexus 5,3,4,4,2,1,4,4,3,2
Receive Custom Social Content for Your Small Business With Emphatic,3,5,2,4,5,2,3,1,4
Here come retail sales ...,5,3,3,3,3,3,4,1,2
BotBeat: This weeks top botstories,3,3,5,5,3,1,3,1,2
Amazon Introduces New Kindle Fire Tablets,3,4,2,4,5,2,4,1,1
With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders,5,4,5,3,2,1,4,4,2
10 Tips for Using a Blog to Increase Email List Signups,3,2,4,2,1,4,4,4,4
The Daily Sprout,3,2,1,3,3,5,4,5,1
"RGB, CMYK and PMS Colors Explained",3,4,4,2,1,4,3,3,1
Not Sure How to Use LinkedIn for B2B? Let Us Help You,5,3,3,1,4,2,3,3,4
How to Turn Around a Bad Review Online Successfully,3,3,3,5,2,2,2,1,4
Small Business Loan Approval Drops to 18.8 Percent at Big Banks,3,3,2,4,5,2,4,1,2
Cardamom futures remain up on rising demand,2,5,3,3,3,3,4,4,1
Are You Operating Your Business in Multiple States? What You Need to Know,2,5,2,4,5,2,4,4,4
Getting Comfortable With Self-Promotion,3,4,4,2,1,4,3,2,3
Ten Approaches That May Shape the Future of eCommerce,2,5,4,2,1,4,3,5,2
When and How to Use Autoresponders,2,4,4,2,1,4,4,3,5
The 5 best new songs you can stream right now,1,3,3,3,3,3,4,3,5
Building Trust: 5 Tips to Establish Your Credibility for Business,5,4,2,4,5,2,3,5,3
Email Erases 9 to 5 at Many Small to Mid-Sized Businesses,4,4,3,3,3,3,4,4,2
"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way",3,4,1,3,3,5,3,1,2
Audiam Wants to Find Money for Musicians on YouTube,3,4,5,2,2,5,4,3,2
Looking for Blog Topics? @TheSalesLion Has a Few [BlogWorld Coverage],2,5,4,2,1,4,3,1,5
Do You Trust Your Employees to Work Remotely?,5,2,3,5,2,2,4,4,5
Book Review: You Are What You Choose,3,4,4,2,1,4,4,4,3
"Up close & personal: How Sunny Leone handles stocks, land, gold, other assets",3,2,1,2,4,5,3,5,4
Catch Up With Our Latest Small Business News Recap,4,5,2,4,5,2,3,3,4
What Not to Do When Using Internet on the Go,3,3,5,3,2,1,3,5,5
The 10 most luxurious first-class plane cabins in the world,3,3,3,3,3,3,2,5,2
The 10 most important things in the world right now,4,3,2,4,3,3,4,3,3
The Commitment Engine Inspires Small Business Growth,2,4,4,2,1,4,4,4,2
Your Uncharged Phone Might Not be Allowed on Some Flights,3,2,3,3,3,3,4,5,5
"Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets",2,3,3,5,2,2,4,3,2
Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores,2,2,4,2,1,4,3,5,5
Here come personal income and spending ...,4,3,5,2,2,5,5,3,4
Small Business News: Small Biz Startup Tips,3,2,4,2,1,4,3,5,2
Monster Loyalty: Savvy Engagement Tips From Lady Gaga,2,2,4,2,1,4,4,1,3
How to Balance Engagement and Customer Service on Twitter,2,3,4,2,1,4,4,4,1
Get It Together! Consolidate Your Business Systems,3,3,4,2,1,4,3,4,5
Satanic Latte Art? How Should a Business Respond?,3,3,3,3,3,3,4,5,1
The Art of Pricing,5,4,4,2,1,4,3,5,5
Earnings This Week,4,5,3,3,3,3,1,1,2
What is a Database?,3,5,5,3,2,1,3,5,4
"Small Business Loans Up at Big Banks, Down at Small Ones",2,4,2,4,5,2,4,3,1
Google AdWords Conversion Import Tracks Offline Sales,3,5,3,5,2,2,3,5,4
10 Tips For Organizing Your Small Business This Year,2,3,2,4,5,2,3,1,2
8 Daily Steps to Compete Like a Champion,5,2,2,4,4,5,4,5,1
Here comes the Baker Hughes rig count ...,3,3,3,3,3,3,3,4,1
4 Ways to Market Your SMB With Flickr,2,5,4,2,1,4,3,4,1
Here comes Markit services PMI ...,3,2,5,2,2,5,3,4,3
Here comes the Beige Book ...,5,4,3,3,3,3,4,5,4
Review: Attention! This Book Will Make You Money,3,2,4,2,1,4,3,2,1
Twitter Officially Launches Mobile Ads Manager,4,5,3,1,4,2,5,2,1
The Micro Business Home Equity Loan Crunch,3,4,2,4,5,2,5,1,1
Cicret Could Turn Your Skin Into a Smartphone Display,2,4,3,3,3,3,4,1,1
4 Ways to Make or Save Money with a Smartphone,3,2,2,4,5,2,4,1,2
"China Based Huawei Introduces Five New Devices, Eyes U.S. Market",3,5,2,4,5,2,4,3,5
"Citysearch: Product Manager, LA",3,4,3,3,3,3,3,3,4
Why Networking in Person Still Matters,5,5,3,3,3,3,5,3,5
The 20 best smartphones in the world,3,4,3,3,3,3,3,5,2
5 lessons from the Bhagvad Gita for every entrepreneur,5,2,3,5,2,2,4,5,1
"Community Connect: Product Strategist, NYC",3,3,3,3,3,3,3,4,1
"Reliance Jio is yet to be launched, but is already breaking rules",4,5,2,4,4,5,4,1,4
Study: 16 Percent of Yelp Reviews May Be Fakes,3,5,2,4,4,5,4,1,5
SMB Owners Get Mobile Coupons For The Holidays,2,2,2,4,5,2,3,2,3
Here comes consumer confidence...,2,5,3,2,1,4,3,2,1
Daily Sprout,3,3,5,3,2,1,3,3,4
President Obama Angers Small Booksellers With Amazon Speech,3,5,5,3,2,1,4,3,1
Outsell Yourself: Go From Hello to Sold With Ethical Business and Sales Techniques,2,2,4,2,1,4,4,5,1
Want to Learn How to Use Google Plus for Business? Of Course You Do!,3,3,4,2,1,4,3,4,1
Could Robots Be the Employees of the Future?,4,2,5,5,3,1,3,4,1
Small Business Disaster Survival Guide: Get Your Insurance Claims Covered,2,5,3,3,3,3,4,1,2
"South Dakota, Texas Top List of Best State Tax Systems",2,3,2,4,5,2,4,2,3
10 Social Media Books Every Small Business Owner Should Read,3,4,4,2,1,4,4,5,3
Mobile Coupons Slowly Gain Steam With Users,3,4,2,4,5,2,4,5,5
Kid Inventors Come Up With Creative Environmental Solutions,3,3,3,3,3,3,4,4,3
20 Ways to Kick Start Your Motivation Beginning Today,5,2,2,4,5,2,4,4,1
How to Be a Fierce Competitor,5,5,4,2,1,4,4,5,2
The yen is surging,4,4,3,3,3,3,3,5,2
Nokia Introduces Asha Smartphones Beginning at Just $69,3,3,4,2,1,4,4,2,5
Small Business News: Week in Review for July 7,2,3,2,4,5,2,3,3,5
How to Get a Startup Visa Act Passed,3,5,5,3,2,1,4,3,3
Putin and Erdogan move towards repairing Russia-Turkey ties,3,5,3,3,3,3,4,4,3
The Evolution of Affiliate Marketing,3,4,4,2,1,4,4,3,3
"Spring Clean Your Small Business, Twitter Chat Recap",2,3,2,4,5,2,4,3,1
Wall Street opens little changed,5,2,3,3,3,3,3,5,3
Microsoft Temporarily Cuts the Price on the Surface 2,3,4,2,4,5,2,3,4,2
Tipping the Odds for the Entrepreneur,2,2,2,4,5,2,4,1,3
Small Business Leads To Better Economy,2,2,5,3,2,1,4,4,4
The 5 Types of Influencers On The Web,5,3,2,4,5,2,3,5,1
Yahoo Opens Its Ad Network to Other Publishers,3,2,3,3,3,3,3,4,3
What NOT to Spend On In Your Startup,2,5,4,2,1,4,3,1,3
Purchase by Commenting on Instagram with Spreesy,3,2,2,4,5,2,3,5,3
IDG Entertainment: Director of Marketing,3,5,4,2,1,4,1,3,1
Ebay Adds Same Day Delivery In Dallas,2,5,2,4,5,2,3,4,1
5 Points to Remember About Mobile SEO,3,4,3,5,2,2,3,4,3
This One Quality Can Make or Break Your Social Media Campaigns,3,5,3,3,3,3,4,5,1
Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?,3,5,5,3,2,1,4,2,1
Oakland Program Helps Underprivileged Youth Start Businesses,2,3,5,5,3,1,4,3,3
Verizon Plans to Acquire Content Delivery Network EdgeCast,3,3,4,2,1,4,3,2,3
LotusJump Review: Do-It-Yourself Online Marketing Service,3,4,2,4,5,2,3,5,4
What Google+ Local Pages Means to Your Business,3,2,4,2,1,4,3,4,1
Amazon Takes Aim at Etsy with Handmade,3,4,3,3,3,3,5,1,3
iPad Users Get Refund on Office 365,4,3,3,3,3,3,4,2,5
10 Assets for Using Tech to Keep Your Team on Track,4,4,4,2,1,4,3,5,5
How to Turn Your Hobby Into a Business,2,5,4,2,1,4,5,2,2
Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe,3,5,2,4,5,2,3,3,1
The Kodak Pixpro SP360 Sports a 360 Degree Camera,3,2,2,4,5,2,4,4,2
Getting Your Invention To Market,3,3,4,2,1,4,3,4,5
25 Top YouTube Channels for Small Business Owners and Entrepreneurs,2,4,4,2,1,4,5,5,2
Business Book Review: iPhone And iPad App Marketing,3,2,4,2,1,4,3,5,1
The Creative Small Business and 4 Ways to Get There,2,2,2,4,5,2,4,5,2
Join The Crowdfunding Revolution to Start Your Business,2,4,2,4,5,2,5,5,1
2 Important Things to Know About Viral Videos,3,2,4,2,1,4,3,3,4
Chris Goward: Affiliate Programs and Conversion Optimization #AMDays,3,4,4,2,1,4,3,3,5
"What to buy, sell and hold",5,4,3,3,3,3,3,3,3
Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu,5,3,5,3,2,1,5,2,4
"The curious story of Dadi Balsara, the Parsi billionaire who stayed
at Taj Mansingh Hotel for 36 years",5,5,1,5,3,2,4,2,5
Here's A Brand New Thing You Didn't Know About 'Friends',3,2,3,3,3,3,5,1,4
New York Times Hacked Via Crafty Phishing Attack,4,4,2,4,5,2,3,4,2
HP Pavilion Mini and Stream Mini Introduced,3,3,3,3,3,3,4,5,4
How Do Consumers Buy Online?,3,2,4,2,1,4,3,5,2
Modi wants Tesla to set up its factories in India,5,3,1,5,3,2,4,4,2
How to Use Evernote to Help You Keep Your Blog Active,4,3,3,5,2,2,3,1,5
Manta Business Directory Upgrades to Help You Get Discovered,3,2,4,2,1,4,3,4,3
Become a Better Blogger and Writer in 7 Easy Steps,5,4,4,2,1,4,3,4,2
Union Cabinet approves skill training through Pradhan Mantri Kaushal Vikas Yojana,5,3,5,3,2,1,3,4,5
25 of the Best Cities for Freelancers to Work and Play,3,5,1,3,3,5,4,3,2
Liquid Soap and Green Tech are Game Changers for This Entrepreneur,3,3,3,3,3,3,3,3,3
Google Grants Available for Nonprofit Organizations,3,4,3,5,2,2,4,3,4
CorpNet Adds Free Meeting Minutes and Corporate Document Templates,4,2,2,4,5,2,3,5,5
Social Media Customer Care Company Raises $1 Million for Growth,3,5,4,2,1,4,4,5,3
Coca-Cola: Marketing Done Right,3,4,4,2,1,4,4,5,4
10 Ways to Use Hashtags for Your Business,2,2,2,4,5,2,4,5,5
"Will We Soon See a Color Kindle E-Reader, Instead of Black and White?",3,2,5,5,3,1,5,5,3
