Article,Recommendation
How 2 of the world's most powerful and dangerous drug lords compare,"[(1.0, 'Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?'), (0.97, 'Selling In A Skirt Elevates Training for Saleswomen and Salesmen'), (0.95, '10 things you need to know in markets today'), (0.94, 'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA'), (0.94, 'Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons')]"
"Fortune 500 Thrives, But Small Businesses Not So Optimistic","[(0.97, 'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers'), (0.97, 'Improving Your Community Can Improve Your Business'), (0.97, 'Buffer Hack Spams Social Media Followers'), (0.95, 'Spotlight: Helena Tubridy Uses Hypnotherapy to Treat Infertility'), (0.94, 'Answers to Your Frequently Asked Questions About Incorporation')]"
Google Acquisition of Motorola Finally Closes: Why You Should Care,"[(0.97, '16 Killer Places to Market Your App Besides Google'), (0.94, 'Verizon Trades Two Year Contracts for Monthly Billing'), (0.93, 'Yelp Reviews Out of Google Places. What Else Ya Got?'), (0.93, 'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses'), (0.93, 'New Apple iPad Thinner, Lighter But Still $499')]"
Finding Money for That Franchise When Money is Tight,"[(1.0, 'Birth to re-birth: The man who made Savita Bhabhi'), (0.95, 'Successful S-Corp Owners: Watch Out For A Tax Increase'), (0.94, 'What is a Database?'), (0.92, 'How to Form an LLC or Incorporate a Business'), (0.92, '10 Mindsets of Successful Entrepreneurs')]"
94 Percent of People Think Buying From Small Businesses is Important,"[(0.96, 'Zapier Zaps Your Data from One App to Another With One Click'), (0.96, 'New Microsoft Surface 2 Tablets Have Arrived'), (0.96, 'Mid-Year Business Review: Risk Management Edition'), (0.96, 'How Much Will the Sequester Cost Small Business Contractors?'), (0.96, 'Buffer Hack Spams Social Media Followers')]"
"Bright Light Helps Market Products, But Makes Decisions More Emotional","[(0.93, 'Google Acquisition of Motorola Finally Closes: Why You Should Care'), (0.93, '45 million email subs cant be wrong: How RetailMeNot drives LTV through acquisition and engagement (VBLive)'), (0.92, 'Metrics Overload? How to Streamline Marketing Data'), (0.92, 'Are PPC Ads Following You?'), (0.91, 'How To Get Your Content Shared On Twitter')]"
25 Tips for Using Instagram in Your Business,"[(0.98, 'Vine: Now You Can Send Video Messages Directly to Friends and Colleagues'), (0.97, 'Success Secrets of a 6-Year Old Ecommerce Business'), (0.96, 'Tom Byun of Yahoo! Small Business: Making That Next Sale'), (0.96, 'The Best Business Dashboard Apps For Small Businesses'), (0.96, 'Effective Websites for Small Businesses: A Review')]"
"Intuit Will Acquire Check App, Deal is Worth $360 Million","[(0.95, 'The Commitment Engine Inspires Small Business Growth'), (0.95, 'Pinterest Contemplates Sponsored Pins'), (0.94, 'Using the Law of Attraction to Create the Company You Want'), (0.94, 'Small Business Book Awards: Nominate Through March 3, 2013'), (0.94, 'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses')]"
3 Ways to Look at Marketing,"[(1.01, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market'), (0.97, 'Best Small Business Use of Facebook Graph Search: Local Businesses'), (0.96, 'The Commitment Engine Inspires Small Business Growth'), (0.96, 'Spotlight: BlogPaws is a Media Company That Puts Animals First'), (0.96, 'Pinterest Contemplates Sponsored Pins')]"
Successful S-Corp Owners: Watch Out For A Tax Increase,"[(0.97, 'How to Form an LLC or Incorporate a Business'), (0.97, '10 Mindsets of Successful Entrepreneurs'), (0.96, 'Small Businesses Created 45 Percent of the New Jobs in June'), (0.95, 'Finding Money for That Franchise When Money is Tight'), (0.95, 'Birth to re-birth: The man who made Savita Bhabhi')]"
