,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
0,"Fortune 500 Thrives, But Small Businesses Not So Optimistic",b'How Much Will the Sequester Cost Small Business Contractors?' (0.89),b'How the IRS Scandal Might Benefit Small Business' (0.89),b'An Update on the Greater Opportunities for Small Business Act' (0.89),b'Small Business Optimism: Status Quo or Cautious Optimism?' (0.89),b'Small Business Job Growth Dips in January' (0.86),b'Why Small Businesses Have Trouble Getting Credit' (0.84),b'Small Business Employment Share Shrinking for a Good Reason' (0.83),b'Small Business Groups Offer Mixed Reaction to Obama Budget' (0.83),b'Small Business Wellness Programs and Return On Investment (ROI)' (0.83),b'Top 4 Health Insurance Trends for Small Businesses' (0.81)
1,"Bright Light Helps Market Products, But Makes Decisions More Emotional",b'Sleeping With Your Smartphone Makes Productivity and Life Balance Possible' (0.79),b'How to Get Your Products Discovered with Videos' (0.73),b'Presentations: How to Make Your Message Stick' (0.66),b'What Makes You Stand Out When Job Hunting?' (0.65),"b'Community Connect: Product Strategist, NYC' (0.64)",b'How To Train Your Team And Make It Connect' (0.62),b'Spotlight: This Service Brings Product Photography into Focus' (0.61),b'Facebook is Trying to Make Advertising Simpler' (0.57),b'The Age of the Platform Will Make You Think' (0.56),b'9 Holiday Marketing Tips to Make Your Retail Store Stand Out' (0.56)
2,Successful S-Corp Owners: Watch Out For A Tax Increase,"b'South Dakota, Texas Top List of Best State Tax Systems' (0.77)",b'Senate Passes Internet Sales Tax; Bill Moves to House' (0.73),b'Internet Sales Tax Bill May Stall in House of Representatives' (0.73),b'Estimated Tax Payments:  Your Questions Answered' (0.71),b'Internet Sales Tax Issue Still Lives Despite Activist Claims' (0.71),b'Lessons Learned From Your 2013 Tax Return' (0.70),"b'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant' (0.69)",b'Do You Qualify for a Break Under These Small Biz Tax Definitions?' (0.68),b'New Tax Penalty Targets Health Reimbursement Accounts' (0.67),b'Ohio Weighing Major Tax Break For Small Businesses' (0.65)
3,Mid-Year Business Review: Risk Management Edition,b'Take the Time to Manage Customer Reviews' (0.68),b'The Blink Factor: Time Management Can Build or Break Your Business' (0.67),b'When To Respond To Negative Reviews (and not)' (0.64),b'Time is Money: Are You and Your Employees Effectively Managing It?' (0.64),b'The Project Champion: A Management Best Practice' (0.61),b'Study: 16 Percent of Yelp Reviews May Be Fakes' (0.58),b'Managing Different Generations in the Workplace' (0.58),b'Review of Hootsuite: Manage Social Media From A Single Dashboard' (0.54),b'Be.Lead.Do Provides Online Resource for Business Managers' (0.54),b'Present Shock: Taking A Moment to Review the Future' (0.53)
4,European shares lifted by solid earnings but RBS slumps,b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.82),b'Oil prices fall on oversupply concerns despite output cuts' (0.81),b'Rupee down against dollar' (0.78),"b'Health, tech stocks power S&P, Nasdaq to record highs' (0.77)",b'Sun TV Q1 net profit climbs 19% to Rs 233.1 crore' (0.74),b'Idea Cellular posts 74 percent drop in first quarter profit' (0.74),b'Crude oil futures fall on weak Asian cues' (0.72),b'Deals of the day- Mergers and acquisitions' (0.71),b'Putin and Erdogan move towards repairing Russia-Turkey ties' (0.70),b'USPS Cuts Saturday Mail Delivery But Will Continue Package Delivery' (0.70)
5,How to Get Your Products Discovered with Videos,"b'Community Connect: Product Strategist, NYC' (0.80)",b'Awaken Your Productivity With Fearless At Work' (0.74),b'Spotlight: This Service Brings Product Photography into Focus' (0.74),"b'Bright Light Helps Market Products, But Makes Decisions More Emotional' (0.73)",b'How I increased my productivity 1.5x by experimenting with my work schedule' (0.73),"b'Citysearch: Product Manager, LA' (0.67)",b'Sleeping With Your Smartphone Makes Productivity and Life Balance Possible' (0.64),"b'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA' (0.59)",b'LinkedIn Gets Rid of Products and Services Tab on Company Pages' (0.56),b'Got a Startup Tech Hardware Product to Sell? Try Grand St.' (0.54)
6,"Court Reverses $338,000 Award for User Generated Content",b'Photographer Driven Bananas Over Wikipedia Monkey Selfies' (0.72),b'FTC Ruling on Pinterest Contest Increases Urgency Over Disclosures' (0.68),b'Pinterest Contemplates Sponsored Pins' (0.65),"b'Fraudulent DMCA Takedown Requests: Finally, a Lid on Them?' (0.65)",b'[Techie Tuesdays] Manish Bhattacharya  The Kid who paid his education loan by hacking into facebook' (0.64),b'Texas Hair Braiding Law Struck Down in Court Decision' (0.62),"b'Yahoo Shuts Down Voices, Bid for Low Cost Content Fails' (0.62)",b'Read Adaptability and Learn to Thrive in Any Environment' (0.57),b'Famous Bloggers Founder Loses Domain Names' (0.55),b'How to Promote Offline Events On The Web' (0.53)
7,25 Free WordPress Plugins for Integrating Google Features,"b'Google Announces Web Designer, Enhancements to DoubleClick' (0.86)","b'Google Updates Listings, Crowdfunding Campaigns Extended' (0.85)",b'Google Increases Transparency Around Click Fraud' (0.82),b'Google Improves AdWords Express Program' (0.82),b'YouTube Adds Google Plus Type Comments' (0.80),b'How Do I Update WordPress Plugins Automatically?' (0.77),b'Days Are Numbered for the LG Google Nexus 5' (0.73),b'How to Install a WordPress Plugin on Your Website' (0.73),"b'Google Databoard Lets You View Research, Create Infographics' (0.73)",b'Google Releases Real-Time Reputation Problem' (0.72)
8,Small Business Product Launches and Shut Downs,b'How the Cloud is Reshaping Small Business Productivity' (0.84),b'Bigcommerce Increases Reach Into Small Business Commerce' (0.75),b'28 Webinar Services for Small Business Owners' (0.71),b'Why Small Businesses Love Cloud Services' (0.69),b'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers' (0.68),b'Getting Your Small Business Started On Yelp' (0.68),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.68),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.65),b'How Much Will the Sequester Cost Small Business Contractors?' (0.64),b'Catch Up With Our Latest Small Business News Recap' (0.64)
9,Build your Business Through The Economics of Integrity,b'The Gen Y Handbook: Talking Business With Millennials' (0.86),b'When to Give Business Gifts and Who to Give Them to' (0.78),b'How best friends turned co-founders are building their dream business' (0.77),b'Ever Wonder How to Build a Business as a Personal Stylist?' (0.76),b'Best Business Gifts Under $25 for 2015' (0.74),b'Why Word-of-Mouth Should Be Core to Your Business' (0.72),b'Join The Crowdfunding Revolution to Start Your Business' (0.71),b'Strategic Speed Shows How to Execute Business Strategy Fast and Well' (0.70),b'Enterprise Analytics: Big Data Measures to Better Business' (0.69),b'Invisible Capital Reveals The Resources That Builds Success' (0.68)
