,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
0,How 2 of the world's most powerful and dangerous drug lords compare,Getting In The Game Puts Your Start Up Investment on the Board (1.34),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00),"China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",The yen is surging (1.00)
1,Google Acquisition of Motorola Finally Closes: Why You Should Care,Getting In The Game Puts Your Start Up Investment on the Board (1.04),Artsy Central Shows Trend Toward Etsy Alternatives (1.00),1001 Startup Ideas - Place for connecting students to micro-jobs (1.00),"Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good (0.99)",A New Code of Conduct for Affiliate Marketing (0.99),Constant Contact Moves into Mobile with Acquisition of CardStar (0.99),50 quotes which will trigger productivity (0.99),Is Network Congestion Choking Your Mobile Experience? (0.99),IRS Adopts Taxpayer Bill of Rights (0.98),Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can (0.98)
2,Finding Money for That Franchise When Money is Tight,Getting In The Game Puts Your Start Up Investment on the Board (1.38),When is the Best Time to Trademark Your Company Name? (1.02),The Christmas Conspiracy (1.01),7 of the biggest myths about beer debunked (1.01),3 Questions for You to Ask Yourself About Employee Health Care (1.01),Top 5 Programming Languages for Mobile Application Development (1.01),Re-inventing B2B Commerce with technology - The next wave (1.01),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (1.00)",Audiam Wants to Find Money for Musicians on YouTube (1.00),MyOpenID Will Shut Down in February (1.00)
3,94 Percent of People Think Buying From Small Businesses is Important,The Micro Business Home Equity Loan Crunch (1.00),Raising Minimum Wage: Next Proposal to Threaten Small Businesses (1.00),Putting Television in Your Lobby or Place of Business: What you Need to Know (1.00),Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years (1.00),Shutdown Cost Small Tourism Businesses Millions (1.00),Business Fills Same Niche for Over 100 Years (0.99),Targeted Cyber Attacks Against Small Biz: Chat Recap (0.99),Protecting Small Business Intellectual Property (0.98),A Plug-and-Play Customer Loyalty Program for Small Businesses (0.98),How to Turn Your Home Brewing Hobby into a Business (0.98)
4,25 Tips for Using Instagram in Your Business,Rock Your Business With These 23 Website Building Tools (1.00),6 Benefits of Social Media for Small Businesses (1.00),Building Trust: 5 Tips to Establish Your Credibility for Business (0.99),10 Ways to Use Hashtags for Your Business (0.99),Best Small Business Use of Facebook Graph Search: Local Businesses (0.99),Market Your Business on Facebook With Some of This Secret Sauce (0.99),Tips for Tracking Employee Time Effectively in Your Business (0.97),Review of The Mesh: Why The Future of Business Is Sharing (0.97),7 Best Business Books for Summer Reading (0.97),Black Business Secrets Offers Tips to a New Generation of African American Entrepreneurs (0.96)
5,"Intuit Will Acquire Check App, Deal is Worth $360 Million",Getting In The Game Puts Your Start Up Investment on the Board (1.33),How 2 of the world's most powerful and dangerous drug lords compare (1.00),Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00),"China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",iPad Users Get Refund on Office 365 (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00)
6,3 Ways to Look at Marketing,How to Leverage Infographics for B2B Marketing (1.00),Book Review: You Are What You Choose (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),"Smarter, Faster, Cheaper: A Review (1.00)",4 Ways to Encourage Online Reviews (1.00),10 Creative and Efficient Customer Service Solutions (1.00),"6 Statistics That Influence Your Mix of Media, Marketing and Mingling (1.00)",5 Pillars of Visual Marketing Plus Some Free Tools (1.00),Stop Collecting And Start Engaging With Your Twitter Followers (1.00),7 Ways to Get More From Social Media in 2010 (1.00)
7,10 phrases in your emails that make you sound unprofessional,20 Steps to a Renewable Energy Plan on a Budget (1.01),"Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)","Jupitermedia: Media Analyst, NYC (1.00)","Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Social Media Customer Care Company Raises $1 Million for Growth (1.00),Spotlight: Manage A Gazillion Marketing Platforms with Holonis (1.00),Adwords Shopping Campaigns Set to Replace Product Listing Ads (1.00),Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects (1.00),Graph Search Presents Opportunties to Reach More Facebook Users (1.00)
8,Evernote Coming Out With New App Just for Businesses,How to Motivate Temporary Employees to do Their Best (1.04),IBM Acquires SoftLayer: Will Small Biz Hosting Remain? (0.94),P2P Tech Firm CacheLogic Raises $20M in Third Round Funding (0.91),Small Businesses Created 45 Percent of the New Jobs in June (0.91),Will the Dependent Coverage Provision Raise Insurance Premiums? (0.90),Business Fills Same Niche for Over 100 Years (0.86),What You Need to Know About the Sequester (0.83),The Micro Business Home Equity Loan Crunch (0.81),Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years (0.80),94 Percent of People Think Buying From Small Businesses is Important (0.78)
9,"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC",Getting In The Game Puts Your Start Up Investment on the Board (1.32),Finding Money for That Franchise When Money is Tight (1.00),Audiam Wants to Find Money for Musicians on YouTube (1.00),Amazon Takes Aim at Etsy with Handmade (1.00),MyOpenID Will Shut Down in February (1.00),When is the Best Time to Trademark Your Company Name? (1.00),Enterprise Cloud Services Retooled as Google for Work (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),Facebook Messenger hits 1 billion users (1.00),Malicious Apps On Google Play Increase By 388 Percent (1.00)
